	
Brevs. 3	1826 - 1863"Breve vedk. Familien Wergeland fra og til Eidsvold i 1830-Aarene m.m." Tidligere innbundet. Brevene er ordnet med henvisning til sidetall. Se Leiv Amundsens artikkel i Edda 1922 (b. 18) om Brevs. 3 med utdrag av de brev som omhandler Henrik Wergeland. - Brevene frem til bryllupdagen 14. juli 1841 er trykt i C. Collett og P.J. Collett: Dagbøker og breve utg. ved Leiv Amundsen, b. 2-4, 1930-33. Brevene etter bryllupsdagen er utgitt elektronisk i NB kilder 2/2018. Datering følger utgivelsene. Håndskreven datering på brevene er dels samtidig med brevet, dels påført i senere tid sannsynligvis av Camilla Collett selv (jf. Ellisiv Steen 1954, s. 354) eller av hennes sønn Alf Collett. I de tilfeller hvor det er uoverensstemmelser mellom brevets datering og registerert datering er det lagt inn en note om at dateringen følger en av utgivelsene.
	
T	Tilleggsmappe. Dokumenter som senere er lagt til Brevs. 3 er lagt i en tilleggsmappe katalogisert T.
skjul	
T:1	Collett, Camilla til Marie Emilie Heltberg 1830.01 Brevet er til søstrene Marie og Hanna Herre. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_264535.
T:2	Wergeland, Harald Titus Alexis til Alf Collett 1878 - 1884 8 brev.
T:3	Alf Collett: Notater til egne erindringer, samt avskrifter av deler av Camilla Colletts brev til Emilie Diriks. 1 hefte.
	
90	Rye, Elise Schultz til Camilla Collett 1829.05 Baksiden av brevet har Camilla Collett brukt til brevet til Emilie Diriks 7. november 1838.
90	Thygesen, A. til Camilla Collett 1829.04.26 Baksiden av brevet har Camilla Collett brukt til brevet til Emilie Diriks 7. november 1838.
	
91	Collett, Camilla til Emilie Diriks 1838.05.04
92	Collett, Camilla til Emilie Diriks 1838.06.22  Hører sammen med brevet Brevs: 3:105. Datering følger Amundsens utgave.
93	Collett, Camilla til Emilie Diriks 1838.05.07
94	Collett, Camilla til Emilie Diriks 1838.05.09
95	Collett, Camilla til Emilie Diriks 1838.05.11  "Bededag Formiddag". Datering følger Amundsens utgave.
96	Collett, Camilla til Emilie Diriks 1838.05  Fragment. Trolig slutten av brevet Brevs. 3:101 (26. mai 1838).
97	Collett, Camilla til Emilie Diriks 1838.05.24
98	Collett, Camilla til Emilie Diriks 1838.05.20
99	Collett, Camilla til Emilie Diriks 1838.05.25  Fragment.
100	Collett, Camilla til Emilie Diriks 1838.05.27  Fragment. Antatt mottaker. Datering følger Amundsens utgave. Se s. 443 i bindet "Frigjørelsens Aar".
101	Collett, Camilla til Emilie Diriks 1838.05 - 1838.06  Flere løse sedler. Hører til to forskjellige brev ifølge Amundsen: 26. mai 1838 (sammen med Brevs. 3:96) og 23. juni 1838 (Brevs. 3:105).
102	Collett, Camilla til Emilie Diriks 1838.07  Datering følger Amundsens utgave.
103	Collett, Camilla til Emilie Diriks 1838.07  Datering følger Amundsens utgave.
104	Collett, Camilla til Emilie Diriks 1838.06.08
105	Collett, Camilla til Emilie Diriks 1838.06.12 - 1838.06.25
106	Collett, Camilla til Oscar Wergeland 1838.07.17
107	Collett, Camilla til Emilie Diriks 1838.10.21  Fragment. Datering følger Amundsens utgave. Trolig del av brevet Brevs. 3:112 (21. oktober 1838).
108	Collett, Camilla til Emilie Diriks 1838  Fragment. Antatt mottaker. Ikke trykt i Amundsens utgave.
109	Collett, Camilla til Emilie Diriks 1838.11  Fragment. Ikke trykt i Amundsens utgave, men nevnt i anmerkninger i bindet "Frigjørelsens Aar" s. 448.
110	Collett, Camilla til Emilie Diriks 1838.12.16  Fragment. Datering følger Amundsens utgave. Trolig del av brevet Brevs. 3:115 (16. desember 1838).
111	Collett, Camilla til Oscar Wergeland 1838.10.07
112	Collett, Camilla til Emilie Diriks 1838.10.21  Fragment.
113	Collett, Camilla til Emilie Diriks 1838.11.07  Fragment.
114	Collett, Camilla til Emilie Diriks 1838.11.07  Fragment. Datering følger Amundsens utgave. Trolig del av brevet Brevs. 3:113.
115	Collett, Camilla til Emilie Diriks 1838.12.16  Fragment.
116	Collett, Camilla til Emilie Diriks 1838.09  To fragmenter som muligvis hører til samme brev. Datering følger Amundsens utgave.
117	Collett, Camilla til Emilie Diriks 1838.04  Fragment. Datering følger Amundsens utgave.
118	Collett, Camilla til Emilie Diriks 1838.12.25
119	Dass, Isach Georg til Camilla Collett 1838.12.27
120	Bruun, Johannes til Camilla Collett 1839.02.01  Brev skrevet som dikt med musikknoter.
121	Collett, Camilla til Emilie Diriks 1839.02.06
122	Collett, Camilla til Emilie Diriks 1839.01  Fragment. Datering følger Amundsens utgave. Se s. 449 i bindet "Frigjørelsens Aar".
123	Collett, Camilla til Emilie Diriks 1839.02  Datering følger Amundsens utgave.
124	Collett, Camilla til Emilie Diriks 1839.03  To sedler. Datering følger Amundsens utgave.
125	Collett, Camilla til Malvina Petersen Døderlein 1839.03  Fragment. Datering følger Amundsens utgave.
126	Collett, Camilla til Malvina Petersen Døderlein 1839.03  Datering følger Amundsens utgave.
127	Collett, Camilla til Nicolai Wergeland 1839.02
128	Collett, Camilla til Emilie Diriks 1839.09  Datering følger Amundsens utgave.
129	Collett, Camilla til Oscar Wergeland 1839.04.14
130	Collett, Camilla til Emilie Diriks 1839.04.29
131	Collett, Camilla til Emilie Diriks 1839.05  Fragment.
132	Collett, Camilla til Emilie Diriks 1839.05.07  Fragment.
133	Collett, Camilla til Emilie Diriks 1839.05.18
134	Collett, Camilla til Emilie Diriks 1839.06.12
135	Collett, Camilla til Oscar Wergeland 1836.06  Her også diverse blomstervers ført i pennen av Camilla Collett.
136	Collett, Camilla til Oscar Wergeland 1840.08.09  2 bl. Datering følger Amundsens utgave.
137	Collett, Camilla til Oscar Wergeland 1839.10.21  Ett dobbeltblad og ett enkeltblad. På dobbeltbladet er det også utkast til brev til Peter Jonas Collett 10. okt. 1839 (se Brevs.4:A: 48).
138	Collett, Camilla til Emilie Diriks 1841.06  Datering følger Amundsens utgave.
139	Collett, Camilla til Malvina Petersen Døderlein 1839.10  Fragment. Hører trolig sammen med Brevs.4A:50a og Brevs.3:142. Datering følger Amundsens utgave.
140	Collett, Camilla til Emilie Diriks 1839.09.30  Fragment.
141	Collett, Camilla til Emilie Diriks 1839.09.26  Fragment. Datering følger Amundsens utgave.
142	Collett, Camilla til Malvina Petersen Døderlein 1839.10  Fragment. Hører trolig sammen med Brevs.4A:50a og Brevs.3:139. Datering følger Amundsens utgave.
143	Collett, Camilla til Emilie Diriks 1839.10.10  Hører trolig sammen med Brevs. 3:140.
144	Collett, Camilla til Ida Kjerulf 1839.11  Fragment av utkast. Datering følger Amundsens utgave.
145	Collett, Camilla til Ida Kjerulf 1840.01.23  Fragment.
146	Kjerulf, Ida til Camilla Collett 1840.10  Datering følger Amundsens utgave, hvor den oppgis til usikker.
147	Collett, Camilla til Emilie Diriks 1840.01.30
148	Collett, Camilla til Emilie Diriks 1840.06.15
149	Collett, Camilla til Emilie Diriks 1840.07.06  Fragment. Trolig slutten av brevet Brevs. 3:152 (6. juli 1840).
150	Collett, Camilla til Emilie Diriks 1840.09  Fragment. Trolig slutten av brevet Brevs. 3:154 (sept. 1840).
151	Wergeland, Nicolai til Peter Jonas Collett 1840.06.15
152	Collett, Camilla til Emilie Diriks 1840.07.06  Fragment.
153	Collett, Camilla til Emilie Diriks 1840.09
154	Collett, Camilla til Emilie Diriks 1840.09  Fragment.
155	Collett, Camilla til Emilie Diriks 1840.10.30
156	Collett, Camilla til Peter Jonas Collett 1840.12  Fragment. Dato etter den 7. desember 1840. Antatt mottaker.
157	Collett, Camilla til Emilie Diriks 1841.01  Datering følger Amundsens utgave.
158	Collett, Camilla til Emilie Diriks 1841.02.03  Datering følger Amundsens utgave.
159	Collett, Camilla til Emilie Diriks 1841.03.23
160	Collett, Camilla til Emilie Diriks 1841.03.24  Fragment.
161	Collett, Camilla til Emilie Diriks 1841.05.02  Datering følger Amundsens utgave.
